tokenizer,language,tokens,words,graphemes,bytes,sentences,tokens_per_word,tokens_per_grapheme,tokens_per_byte,tokens_per_sentence
gpt2,english,26744,21647,130392,130522,1000,1.2354598789670623,0.20510460764464078,0.20490032331714195,26.744
gpt2,hindi,198343,25364,129677,333516,1000,7.819862797665984,1.5295156427122774,0.5947031026997206,198.343
gpt2,tamil,415461,16596,152429,416925,1000,25.033803326102674,2.7256033956793,0.9964885770822091,415.461
gpt2,kannada,363208,15929,136480,371110,1000,22.80168246594262,2.6612543962485344,0.9787071218776104,363.208
xlm-roberta-base,english,30306,21647,130392,130522,1000,1.4000092391555412,0.2324222344929137,0.232190741790656,30.306
xlm-roberta-base,hindi,37805,25364,129677,333516,1000,1.490498344109762,0.2915320372926579,0.11335288262032406,37.805
xlm-roberta-base,tamil,40899,16596,152429,416925,1000,2.4643890093998553,0.26831508439995017,0.09809677999640223,40.899
xlm-roberta-base,kannada,40994,15929,136480,371110,1000,2.573545106409693,0.30036635404454864,0.11046320497965563,40.994
